id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
1,,If Cats Disappeared from the World,Sekai kara neko ga kietanara,???????????,2016,Akira Nagai,Toho company/ Toho pictures,,Hokkaido,????  (Motomachi park),41.7655185,140.7095265,JL-DB,14/05/2016,,,No,,,,
2,,If Cats Disappeared from the World,Sekai kara neko ga kietanara,???????????,2016,Akira Nagai,Toho company/ Toho pictures,,Hokkaido,??????   (Private Hakodate University),41.7888238,140.8063439,JL-DB,14/05/2016,,,No,,,,
3,,If Cats Disappeared from the World,Sekai kara neko ga kietanara,???????????,2016,Akira Nagai,Toho company/ Toho pictures,,Hokkaido,???   (Hakodate West Pier),41.7747502,140.7108568,JL-DB,14/05/2016,,,No,,,,
4,,If Cats Disappeared from the World,Sekai kara neko ga kietanara,???????????,2016,Akira Nagai,Toho company/ Toho pictures,,Hokkaido,???? (Hakodate Tramway),41.7687933,140.7288103,JL-DB,14/05/2016,,,No,,,,
5,,If Cats Disappeared from the World,Sekai kara neko ga kietanara,???????????,2016,Akira Nagai,Toho company/ Toho pictures,,Hokkaido,???????????????? (Hakodate Municipal Community Planning Center),41.7637245,140.716946,JL-DB,14/05/2016,,,No,,,,
6,,Shiawase Kamon,Shiawase kamon,???????,2009,Nakamura Oya,Alpha core,,Iwate prefecture,????????????,39.1974459,141.1889988,JL-DB,--,,,No,,,,
7,,Parasitic beast,Kiseijy?,??? (??????),2014,Takashi Yamazaki,Toho company/ robot/ Office Abe Shuji,,Ibaraki prefecture,???? (Ibaraki Prefectural Government Office),36.3418112,140.4467935,JL-DB,29/11/2014,,,No,,,,
8,,Goodbye Debussy,Sayonara dobyussh?,??????????,2013,Go Riju,Tea and entertainment,,Ibaraki prefecture,???? (Ibaraki Prefectural Government Office),36.3418112,140.4467935,JL-DB,26/01/2013,,,No,,,,
9,,Equals,Equals,Equals,2016,Drake Doremus,Freedom Media/ Infinite Frameworks Studios/ Route One Entertainment/ Scott Free Productions,,Niigata Prefecture,?????? (Nagaoka Institute of Design ),37.4667245,138.8312559,JL-DB/ IMDB,26/05/2016,U.S.A,,No,"$16,000,000",,,
10,,Equals,Equals,Equals,2016,Drake Doremus,Freedom Media/ Infinite Frameworks Studios/ Route One Entertainment/ Scott Free Productions,,Hyogo Prefecture,????? (Awaji Yumeatai),34.559754,135.008104,JL-DB/ IMDB,26/05/2016,U.S.A,,No,"$16,000,000",,,
